64	BOS 资金帐号是证券公司交易结算资金银行存管协议书中证券资金台帐吗 EOS\	O B-subject I-subject I-subject I-subject O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
65	BOS 可是我忘了账号了 EOS\	O O O O O O B-subject I-subject O account_info_query
66	BOS 换手机换的，账号忘了怎么办 EOS\	O O O O O O O B-subject I-subject O O O O O account_info_query
67	BOS 资金账号密码忘了怎么整？ EOS\	O O O B-subject I-subject I-subject I-subject O O O O O O account_info_query
68	BOS 资金帐号忘了怎么办 EOS\	O B-subject I-subject I-subject I-subject O O O O O account_info_query
69	BOS 资金账户忘了 EOS\	O B-subject I-subject I-subject I-subject O O account_info_query
70	BOS 更换已绑定的银行卡 EOS\	O B-action I-action O O O O B-subject I-subject I-subject bankcard_change
71	BOS 如何更改银证转账银行卡 EOS\	O O O B-action I-action B-subject I-subject I-subject I-subject B-subject I-subject I-subject bankcard_change
72	BOS 你好 我只开户了但一直没用 密码忘记了怎么弄 EOS\	O O O O O O O O O O O O O O O O O O O O O O O passwd_change
73	BOS 你好，我想取消绑定银行卡，应该怎么操作 EOS\	O O O O O O O O O O B-subject I-subject I-subject O O O O O O O bankcard_change
74	BOS 我想请问一下，我的密码我忘记了，我要怎样找回 EOS\	O O O O O O O O O O O O O O O O O O O O O O O passwd_change
75	BOS 你好，我把账号忘了怎么能找到 EOS\	O O O O O O B-subject I-subject O O O O O O O account_info_query
76	BOS 我怎么没找到资金账户 EOS\	O O O O O O O B-subject I-subject I-subject I-subject account_info_query
77	BOS 资金账号找不到了怎么办 EOS\	O B-subject I-subject I-subject I-subject O O O O O O O account_info_query
78	BOS 换了手机忘了帐号怎么弄？ EOS\	O O O O O O O B-subject I-subject O O O O account_info_query
79	BOS 我的帐号给忘了 EOS\	O O O B-subject I-subject O O O account_info_query
80	BOS 怎么换绑定的银行卡？ EOS\	O O O O B-subject I-subject I-subject I-subject I-subject I-subject O bankcard_change
81	BOS 忘记帐号及密码怎么办 EOS\	O O O B-subject I-subject O B-subject I-subject O O O account_info_query
82	BOS 资金账号忘了怎么办？ EOS\	O B-subject I-subject I-subject I-subject O O O O O O account_info_query
83	BOS 帮我查下登陆用户多少 EOS\	O O O O O B-subject I-subject I-subject I-subject O O account_info_query
84	BOS 你好，我资金账户登录不了，显示该用户不存在 EOS\	O O O O O B-subject I-subject I-subject I-subject O O O O O O O O O O O O O account_info_query
85	BOS 老账户能登录吗？ EOS\	O B-subject I-subject I-subject O O O O O account_info_query
86	BOS 我的银行卡换号了，怎么办？ EOS\	O O O B-action I-action I-action I-action I-action O O O O O O bankcard_change
87	BOS 我手机换了没之前账户了 EOS\	O O O O O O O O O B-subject I-subject O account_info_query
88	BOS 我的银行卡丢了，现在刚换了个银行卡，我想换成现在的银行卡，怎么换 EOS\	O O O B-action I-action I-action I-action I-action O O O O B-action I-action I-action I-action I-action I-action O O O B-action I-action I-action I-action I-action I-action I-action I-action O O O O bankcard_change
89	BOS 我的资金密码忘记了，如何找回 EOS\	O O O B-subject I-subject I-subject I-subject O O O O O O O O account_info_query
90	BOS 我的账号怎么登录不上，显示无此账号，我核实了，就是我以前的账号，原先齐鲁证券的号，只是我好长时间没有登录过。什么原因 EOS\	O O O B-subject I-subject O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
91	BOS 我就是使用的资金账号登录的，但是登录不上 EOS\	O O O O O O O B-subject I-subject I-subject I-subject O O O O O O O O O O account_info_query
92	BOS 更改银行卡怎么操作 EOS\	O B-action I-action B-subject I-subject I-subject O O O O bankcard_change
93	BOS 我得交易账号，密码都忘记了，怎么查询 EOS\	O O O B-subject I-subject I-subject I-subject O O O O O O O O O O O O account_info_query
94	BOS 没换行，原先卡不用了，用新卡 EOS\	O O O O O O O O B-action I-action I-action O O B-subject I-subject bankcard_change
95	BOS 登录号码？？？ EOS\	O B-subject I-subject I-subject I-subject O O O account_info_query
96	BOS 帐户忘记怎么弄 EOS\	O B-subject I-subject O O O O O account_info_query
97	BOS 我为什么没法申购新股 EOS\	O O O O O O O B-action I-action B-subject I-subject newstk_quote_cal
98	BOS 忘记密码怎么办 EOS\	O O O O O O O O passwd_change
99	BOS 密码锁定打不开账户了？ EOS\	O O O O O O O O O O O O passwd_change
100	BOS 登陆忘记密码了 EOS\	O O O O O O O O passwd_change
101	BOS 忘记密码怎么办 EOS\	O O O O O O O O passwd_change
102	BOS 你好、改密码怎么改 EOS\	O O O O O O O O O O passwd_change
103	BOS 你好，资金密码忘记了怎么办 EOS\	O O O O O O O O O O O O O O passwd_change
104	BOS 交易密码忘记了咋整 EOS\	O O O O O O O O O O passwd_change
105	BOS 我的股票登录密码不记得了，怎么找回来？ EOS\	O O O O O O O O O O O O O O O O O O O O passwd_change
106	BOS 你好，登入密码忘了 EOS\	O O O O O O O O O O passwd_change
107	BOS 我的账号密码忘记来怎么办 EOS\	O O O O O O O O O O O O O passwd_change
108	BOS 我资金密码忘记了怎么办 EOS\	O O O O O O O O O O O O passwd_change
109	BOS 密码忘掉了该怎么办啊 EOS\	O O O O O O O O O O O passwd_change
110	BOS 密码忘记了 EOS\	O O O O O O passwd_change
111	BOS 密码不记得了 EOS\	O O O O O O O passwd_change
112	BOS 忘记密码怎么办 EOS\	O O O O O O O O passwd_change
113	BOS 资金账号密码忘记了 EOS\	O O O O O O O O O O passwd_change
114	BOS 资金密码忘记了怎么办？ EOS\	O O O O O O O O O O O O passwd_change
115	BOS 交密码忘记，怎么找回 EOS\	O O O O O O O O O O O passwd_change
116	BOS 密码忘了 EOS\	O O O O O passwd_change
117	BOS 我的资金账号密码忘记，请问怎么找回？ EOS\	O O O O O O O O O O O O O O O O O O O passwd_change
118	BOS 密码忘了 EOS\	O O O O O passwd_change
119	BOS 交易密码是什么 EOS\	O O O O O O O O passwd_change
120	BOS 密码忘记怎么办 EOS\	O O O O O O O O passwd_change
121	BOS 密码怎么重置 EOS\	O O O O O O O passwd_change
122	BOS 密码忘记怎么办？ EOS\	O O O O O O O O O passwd_change
123	BOS 忘记资金账号了 EOS\	O O O B-subject I-subject I-subject I-subject O account_info_query
124	BOS 资金账号忘记 EOS\	O B-subject I-subject I-subject I-subject O O account_info_query
125	BOS 资金密码忘记了怎么办？ EOS\	O O O O O O O O O O O O passwd_change
126	BOS 登陆密码忘了 EOS\	O O O O O O O passwd_change
127	BOS 登录密码忘了怎么办 EOS\	O O O O O O O O O O passwd_change
128	BOS 不能用股东账号吗 EOS\	O O O O B-subject I-subject I-subject I-subject O account_info_query
129	BOS 如果我一旦忘记了密码怎么办？ EOS\	O O O O O O O O O O O O O O O passwd_change
130	BOS 请问我的账户密码忘了，账户被锁了怎么解锁啊 EOS\	O O O O O O O O O O O O O O O O O O O O O O passwd_change
131	BOS 帐号忘记了 EOS\	O B-subject I-subject O O O account_info_query
132	BOS 我交易密码忘了，输入几次会锁起来 EOS\	O O O O O O O O O O O O O O O O O passwd_change
133	BOS 但是说我这个用户不存在 EOS\	O O O O O O O B-subject I-subject O O O account_info_query
134	BOS 他提示密码不对 EOS\	O O O O O O O O passwd_change
135	BOS 忘记密码 EOS\	O O O O O passwd_change
136	BOS 我把账户密码忘记怎么办 EOS\	O O O O O O O O O O O O passwd_change
137	BOS 请查一下滨州杨玲玲的账户号15966382041 EOS\	O O O O O O O O O O O B-subject I-subject O O O O O O O O O O O O account_info_query
138	BOS 忘记密码锁定了，怎么找回密码？ EOS\	O O O O O O O O O O O O O O O O passwd_change
139	BOS 为什么我的帐号不不存在 EOS\	O O O O O O B-subject I-subject O O O O account_info_query
140	BOS 好久没登陆了，忘记密码了 EOS\	O O O O O O O O O O O O O passwd_change
141	BOS 你好  我的股票账户登不上去了 EOS\	O O O O O O O B-subject I-subject I-subject I-subject O O O O O account_info_query
142	BOS 我的账户输入密码错了可以改吗 EOS\	O O O O O O O O O O O O O O O passwd_change
143	BOS 账号密码不匹配 EOS\	O B-subject I-subject I-subject I-subject O O O account_info_query
144	BOS 我的帐户被锁定了，登不上 EOS\	O O O O O O O O O O O O O passwd_change
145	BOS 如何查询自己注册过的账户号码 EOS\	O O O O O O O O O O O B-subject I-subject I-subject I-subject account_info_query
146	BOS 我忘记交易密码了 EOS\	O O O O O O O O O passwd_change
147	BOS 账号忘记如何找回 EOS\	O B-subject I-subject O O O O O O account_info_query
148	BOS 忘记资金帐号 EOS\	O O O B-subject I-subject I-subject I-subject account_info_query
149	BOS 我忘记登陆密码了怎么办，当时是在电脑上申请办理的账户，没有纸质的底 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O passwd_change
150	BOS 交易登入的交易密码忘记了怎么弄呢 EOS\	O O O O O O O O O O O O O O O O O passwd_change
151	BOS 我很长时间没交易这个账户了，不知该找哪个，谢谢！ EOS\	O O O O O O O O O O O B-subject I-subject O O O O O O O O O O O O account_info_query
152	BOS 资金帐号忘记了 EOS\	O B-subject I-subject I-subject I-subject O O O account_info_query
153	BOS 我的帐户登不上，说密码错误，怎么回事%3F EOS\	O O O O O O O O O O O O O O O O O O O O O O passwd_change
154	BOS 资金账户找不到了咋办 EOS\	O B-subject I-subject I-subject I-subject O O O O O O account_info_query
155	BOS 如何绑定手机号，忘记密码了怎么办？ EOS\	O O O O O O O O O O O O O O O O O O passwd_change
156	BOS 我不记得自己的账号和密码了 EOS\	O O O O O O O O B-subject I-subject O B-subject I-subject O account_info_query
157	BOS 手机换了，不记得资金帐号了怎么办 EOS\	O O O O O O O O O O O O O O O O O account_info_query
158	BOS 更新系统后没有了账号，我忘记了 EOS\	O O O O O O O O O O O O O O O O account_info_query
159	BOS 帐号忘记了 EOS\	O O O O O O account_info_query
160	BOS 我的账户忘了。怎么可以找回？ EOS\	O O O O O O O O O O O O O O O account_info_query
161	BOS 我的资金账号忘记了怎么办 EOS\	O O O O O O O O O O O O O account_info_query
162	BOS 用什么方法找回资金账号 EOS\	O O O O O O O O O O O O account_info_query
163	BOS 我不知道帐户号 EOS\	O O O O O O O O account_info_query
164	BOS 我帐号忘了 EOS\	O O O O O O account_info_query
165	BOS 你好，我仍不知资金帐号 EOS\	O O O O O O O O O O O O account_info_query
166	BOS 怎么找不到帐号 EOS\	O O O O O O O O account_info_query
167	BOS 我的账号忘了 EOS\	O O O O O O O account_info_query
168	BOS 资金账号忘记了 EOS\	O O O O O O O O account_info_query
169	BOS 资金账号忘记了 EOS\	O O O O O O O O account_info_query
170	BOS 账号密码忘记了，怎么办 EOS\	O O O O O O O O O O O O account_info_query
171	BOS 我资金账户忘了你那可以查吗 EOS\	O O O O O O O O O O O O O O account_info_query
172	BOS 怎么登陆 EOS\	O O O O O account_info_query
173	BOS 我的开户帐号，是什么，电话号码吗？ EOS\	O O O O O O O O O O O O O O O O O O account_info_query
174	BOS 你好，资金帐户和密码忘了，怎么找回？ EOS\	O O O O O O O O O O O O O O O O O O O account_info_query
175	BOS 帐号密码忘记了！怎么办 EOS\	O O O O O O O O O O O O passwd_change
176	BOS 我的账号忘了，你能帮我查查吗？ EOS\	O O O O O O O O O O O O O O O O account_info_query
177	BOS 输入密码错误锁定 EOS\	O O O O O O O O O passwd_change
178	BOS 请问资金账户格式是什么样子的 记录的太多忘记哪一个了 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
179	BOS 忘了资金账号怎么办 EOS\	O O O O O O O O O O account_info_query
180	BOS 你好，我帐号忘了怎么办 EOS\	O O O O O O O O O O O O account_info_query
181	BOS 密码错误忘记了怎么办 EOS\	O O O O O O O O O O O passwd_change
182	BOS 您好，我上周刚开户，账户和密码信息删掉了，如何能找回账号呢 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
183	BOS 我输错密码账户被锁了怎么办 EOS\	O O O O O O O O O O O O O O passwd_change
184	BOS 密码忘了怎么办 EOS\	O O O O O O O O passwd_change
185	BOS 怎么我的账号查不到 EOS\	O O O O O O O O O O account_info_query
186	BOS 我的手机上的账号是不是和我的证卷上账号是一样吗？。是一样的那手机上打不开。 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
187	BOS 你好，我的资金帐号找不到了怎样从齐富通上找 EOS\	O O O O O O O O O O O O O O O O O O O O O O account_info_query
188	BOS 资金管理密码要是忘记了 EOS\	O O O O O O O O O O O O passwd_change
189	BOS 怎么改交易密码 EOS\	O O O O O O O O passwd_change
190	BOS 我把登录密码忘记了怎么办 EOS\	O O O O O O O O O O O O O passwd_change
191	BOS 忘记密码 EOS\	O O O O O passwd_change
192	BOS 亲，我忘记登陆密码了 EOS\	O O O O O O O O O O O passwd_change
193	BOS 忘记资金帐号密码，如何修改 EOS\	O O O O O O O O O O O O O O passwd_change
194	BOS 我的密码忘了咋办 EOS\	O O O O O O O O O passwd_change
195	BOS 我想问下密码忘记了怎么办 EOS\	O O O O O O O O O O O O O passwd_change
196	BOS 忘了交易密码怎么办 EOS\	O O O O O O O O O O passwd_change
197	BOS 密码忘记了怎么办 EOS\	O O O O O O O O O passwd_change
198	BOS 我的密码忘了 EOS\	O O O O O O O passwd_change
199	BOS 我的密码忘记了怎么办？ EOS\	O O O O O O O O O O O O passwd_change
200	BOS 我登录密码忘记了怎么办 EOS\	O O O O O O O O O O O O passwd_change
201	BOS 密码忘了 EOS\	O O O O O passwd_change
202	BOS 你好我想问一下我妈在荣成开的户，密码忘了，在威海可以改吗，本人不去，拿她的身份证可以帮她改吗 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O passwd_change
203	BOS 我忘记我的密码了 EOS\	O O O O O O O O O passwd_change
204	BOS 我的密码忘记了 EOS\	O O O O O O O O passwd_change
205	BOS 家人賬戶密碼不記得了怎麼半 EOS\	O O O O O O O O O O O O O O passwd_change
206	BOS 交易密码忘了 EOS\	O O O O O O O passwd_change
207	BOS 交易密码忘了 怎么找回 EOS\	O O O O O O O O O O O O passwd_change
208	BOS 如果密码错了，怎么办 EOS\	O O O O O O O O O O O passwd_change
209	BOS 资金账号密码忘记了怎么办 EOS\	O O O O O O O O O O O O O passwd_change
210	BOS 忘记密码怎么弄 EOS\	O O O O O O O O passwd_change
211	BOS 忘了资金密码怎么找回 EOS\	O O O O O O O O O O O passwd_change
212	BOS 密码我自己设置的怎么老是错误啊 EOS\	O O O O O O O O O O O O O O O O passwd_change
213	BOS 密码忘了怎么办 EOS\	O O O O O O O O passwd_change
214	BOS 忘记密码了 EOS\	O O O O O O passwd_change
215	BOS 忘记密码了 EOS\	O O O O O O passwd_change
216	BOS 登录密码忘记了怎么办？ EOS\	O O O O O O O O O O O O passwd_change
217	BOS 我忘记我交易密码了怎办 EOS\	O O O O O O O O O O O O passwd_change
218	BOS 忘记密码 EOS\	O O O O O passwd_change
219	BOS 忘记资金账号密码怎么办？ EOS\	O O O O O O O O O O O O O passwd_change
220	BOS 忘记密码了怎么办？ EOS\	O O O O O O O O O O passwd_change
221	BOS 忘记登录密码怎么办 EOS\	O O O O O O O O O O passwd_change
222	BOS 忘记密码怎么办呢 EOS\	O O O O O O O O O passwd_change
223	BOS 密码忘记怎么办 EOS\	O O O O O O O O passwd_change
224	BOS 资金账号登不上 EOS\	O O O O O O O O passwd_change
225	BOS 我的登录密码忘记了 EOS\	O O O O O O O O O O passwd_change
226	BOS 账号被锁定，照你刚才说的操作，也不行 EOS\	O O O O O O O O O O O O O O O O O O O passwd_change
227	BOS 忘记密码 EOS\	O O O O O passwd_change
228	BOS ???我记得密码是，但是登录不进去，账号也对啊 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O passwd_change
229	BOS 说密码或者资金账号有误 EOS\	O O O O O O O O O O O O passwd_change
230	BOS 忘记交易密码 EOS\	O O O O O O O passwd_change
231	BOS 对了，我的密码忘记了，怎么办， EOS\	O O O O O O O O O O O O O O O O passwd_change
232	BOS 忘记账号登陆密码 EOS\	O O O O O O O O O passwd_change
233	BOS 忘记密码了怎么办 EOS\	O O O O O O O O O passwd_change
234	BOS 密码设置了怎么不行 EOS\	O O O O O O O O O O passwd_change
235	BOS 登陆密码忘记了 EOS\	O O O O O O O O passwd_change
236	BOS 忘记密码怎么办 EOS\	O O O O O O O O passwd_change
237	BOS 忘记密码了 EOS\	O O O O O O passwd_change
238	BOS 有资金账号，忘记密码了， EOS\	O O O O O O O O O O O O O passwd_change
239	BOS 忘记密码 EOS\	O O O O O passwd_change
240	BOS 密码是多少 EOS\	O O O O O O passwd_change
241	BOS 忘密码了怎么办 EOS\	O O O O O O O O passwd_change
242	BOS 忘记密码 EOS\	O O O O O passwd_change
243	BOS 忘记密码 EOS\	O O O O O passwd_change
244	BOS 交易密码忘记怎么了 EOS\	O O O O O O O O O O passwd_change
245	BOS 我把所有密码都试了一遍，刚才我再试，提示我密码错误，还有2次机会，我再试的话不会账号锁死吧 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O passwd_change
246	BOS 我是新用户，初始密码是多少？ EOS\	O O O O O O O O O O O O O O O passwd_change
247	BOS 我账户被锁定，密码忘记了 EOS\	O O O O O O O O O O O O O passwd_change
248	BOS 密码要是忘记怎么办 EOS\	O O O O O O O O O O passwd_change
249	BOS 忘记密码了怎么办？ EOS\	O O O O O O O O O O passwd_change
250	BOS 你好，我刚申请的账户，密码忘了怎么办？ EOS\	O O O O O O O O O O O O O O O O O O O O passwd_change
251	BOS 忘记密码怎么办？ EOS\	O O O O O O O O O passwd_change
252	BOS 你好，我账户的密码忘了，怎么更改 EOS\	O O O O O O O O O O O O O O O O O passwd_change
253	BOS 我的登录密码忘了怎么办 EOS\	O O O O O O O O O O O O passwd_change
254	BOS 忘记密码了 EOS\	O O O O O O passwd_change
255	BOS 账号密码不记得了怎么修改 EOS\	O O O O O O O O O O O O O passwd_change
256	BOS 我的交易密码忘记了？怎么找回？ EOS\	O O O O O O O O O O O O O O O O passwd_change
257	BOS 交易密码忘了 EOS\	O O O O O O O passwd_change
258	BOS 密码怎么找回 EOS\	O O O O O O O passwd_change
259	BOS 忘记密码怎么办 EOS\	O O O O O O O O passwd_change
260	BOS 你好，我的账户密码忘了？怎么办 EOS\	O O O O O O O O O O O O O O O O passwd_change
261	BOS 怎么更改密码 EOS\	O O O O O O O passwd_change
262	BOS 密码错误怎么办 EOS\	O O O O O O O O passwd_change
263	BOS 我用信用帐户登录不了普通帐户吗？ EOS\	O O O O O O O O O O O O O O O O O account_info_query
264	BOS 忘记资金密码怎么办 EOS\	O O O O O O O O O O account_info_query
265	BOS 资金账号不存在 EOS\	O O O O O O O O account_info_query
266	BOS 您好，资金账号忘记了怎么办？ EOS\	O O O O O O O O O O O O O O O account_info_query
267	BOS 不存在给用户信息 EOS\	O O O O O O O O O account_info_query
268	BOS 我只知道A股账号 不知道资金账号 EOS\	O O O O O O O O O O O O O O O O O account_info_query
269	BOS 登陆不了 怎么办 EOS\	O O O O O O O O O account_info_query
270	BOS 怎么查询资金帐号 EOS\	O O O O O O O O O account_info_query
271	BOS 帐号忘了怎么办 EOS\	O O O O O O O O account_info_query
272	BOS 我的账号忘记了 EOS\	O O O O O O O O account_info_query
273	BOS 怎么查找账号 EOS\	O O O O O O O account_info_query
274	BOS 换了个手机，忘记账号了。 EOS\	O O O O O O O O O O O O O account_info_query
275	BOS 我的资金账户忘了 EOS\	O O O O O O O O O account_info_query
276	BOS 我是刚刚开通手机软件，可没记住资金账户，那怎么实现手机端登录炒股 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
277	BOS 压根就没见过资金账号<脸红> EOS\	O O O O O O O O O O O O O O O account_info_query
278	BOS 怎样查询是在哪里开户的？ EOS\	O O O O O O O O O O O O O account_info_query
279	BOS 资金账号升级时丢失，如何找回？ EOS\	O O O O O O O O O O O O O O O O account_info_query
280	BOS 资金账号忘了怎么办 EOS\	O O O O O O O O O O account_info_query
281	BOS 我怎么登陆不上去了 EOS\	O O O O O O O O O O account_info_query
282	BOS 说我账号不存在 EOS\	O O O O O O O O account_info_query
283	BOS 原齐鲁证券账号怎么登陆不上 EOS\	O O O O O O O O O O O O O O account_info_query
284	BOS 资金账户是什什么，我之前用的是同花顺 EOS\	O O O O O O O O O O O O O O O O O O O account_info_query
285	BOS 我怎么查询我的基金账户，账号和密码都忘记 EOS\	O O O O O O O O O O O O O O O O O O O O O account_info_query
286	BOS 帐号没了，怎么找回 EOS\	O O O O O O O O O O account_info_query
287	BOS 资金账号怎么查询？ EOS\	O O O O O O O O O O account_info_query
288	BOS 如何查询个人资金账号？ EOS\	O O O O O O O O O O O O account_info_query
289	BOS 我忘记我的资金帐号了 EOS\	O O O O O O O O O O O account_info_query
290	BOS 能不能查到我的账户 EOS\	O O O O O O O O O O account_info_query
291	BOS 我忘记了我的账户名了 EOS\	O O O O O O O O O O O account_info_query
292	BOS 忘记资金帐号了 EOS\	O O O O O O O O account_info_query
293	BOS 忘记资金帐号了 EOS\	O O O O O O O O account_info_query
294	BOS 说错了   我是平常都是用上证A账户登录   我要转签创业板    需要资金账户   我都忘了  怎么找回 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O account_info_query
295	BOS 您好，在手机重新安装齐富通软件，账号怎么找回 EOS\	O O O O O O O O O O O O O O O O O O O O O O O account_info_query
296	BOS 如何进入我以前到帐号 EOS\	O O O O O O O O O O O account_info_query
297	BOS 我咋登录不上去了 EOS\	O O O O O O O O O account_info_query
298	BOS 我登录不上了 EOS\	O O O O O O O account_info_query
299	BOS 帐号查询 EOS\	O O O O O account_info_query
300	BOS 你好，我的资金帐号从哪里看，忘记了 EOS\	O O O O O O O O O O O O O O O O O O account_info_query
301	BOS 账号忘了怎么办 EOS\	O O O O O O O O account_info_query
302	BOS 账号忘了咋办 EOS\	O O O O O O O account_info_query
303	BOS 请问如何查询资金账户？ EOS\	O O O O O O O O O O O O account_info_query
304	BOS 帐号记不得了，能帮我查一下吗 EOS\	O O O O O O O O O O O O O O O account_info_query
